Model,Accuracy,Precision,Recall,F1
Logistic Regression (baseline),0.6948051948051948,0.5777777777777777,0.48148148148148145,0.5252525252525253
Random Forest,0.7142857142857143,0.6041666666666666,0.5370370370370371,0.5686274509803921
Gradient Boosting,0.7597402597402597,0.6808510638297872,0.5925925925925926,0.6336633663366337
