Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.6948051948051948,0.5777777777777777,0.48148148148148145,0.5252525252525253
Decision Tree,0.7077922077922078,0.5918367346938775,0.5370370370370371,0.5631067961165048
